Models,accuracy,precision,recall,f1
DECISION T.,0.8421778084079945,0.8507938554671703,0.8421778084079945,0.8445483713142706
GRANDIENT B.,0.9010337698139216,0.9003710001778854,0.9010337698139216,0.9005545486274829
LOGISTIC R.,0.777119228118539,0.7932172449773912,0.777119228118539,0.7815457176905037
RANDOM FOREST,0.8993797381116472,0.8987516339259397,0.8993797381116472,0.8989500462870089
SVC,0.7208821502412129,0.7611494357658567,0.7208821502412129,0.7288011493134608
XGBOOST,0.9036526533425224,0.9029881839272756,0.9036526533425224,0.9031472250056908
